科室列表	dataq/api/page/getSendDeptList
出库管理-出库单审核-出库单记录查询	dataq/api/page/listCkdJlForYPCKSH
出库管理-出库单审核-出库单药品明细	dataq/api/page/listCkdYpMxForYPCKSH
获取物资属性字典	dataq/api/xdict
出库单审核打印_药库出库单凭证	print/api/query/printYpCkdPz
打印成功后更新打印次数	api/yk/drugsOutBaseComp/updatePrintNum
库存量限额查询	dataq/api/page/queryDrugInventoryLimit
药品信息修改	api/yk/inventoryLimit/updateDrugXinXi
输入法定位药品字典	dataq/api/page/getPositioningDrugs
有效期管理查询	dataq/api/page/queryValidityManagement
滞销药品管理	dataq/api/page/queryUnsalableDrugs
处方排号	api/settlePrint/printPrescriptionList
打印未取号提示信息	api/settlePrint/printWQHTSXX
药品有效期管理打印	print/api/query/printYpYxqGlb
滞销药品管理打印	print/api/query/printZxYpGlb
出库单位下拉框	dataq/api/page/listCkDWDictForYPCKCWGZ
出库单查询	dataq/api/page/listCkdForYPCKCWGZ
转入库	yk/rkdqr/tBtnConfirmClick
出库单对应药品信息列表查询	dataq/api/page/listYpxxForYPCKCWGZ
审核后的打印	yk/rkddy/afterRKDQRSHPrint
增加打印次数	yk/rkddy/upYPRKDCS
入库单退回	yk/rkdqr/godownEntryBack
入库单确认后，是否入库审核	yk/rkdqr/isCheckRK
药库药品分类类别-根据部门编号获取	dataq/api/page/getClassificationOfDrugs
药品库存预警-全院库存	dataq/api/page/queryHospitalInventory
药品库存预警-不统计药房耗量	dataq/api/page/queryInventoryWarning
药品库存预警-统计药房耗量	dataq/api/page/queryInventoryWarningss
冲销	api/yk/drugsOutErrorCorre/writeOff
冲销成功后的打印	api/yk/drugsOutErrorCorre/writeOffAfterPrint
整单取回	api/yk/drugsOutErrorCorre/backWriteOff
查询病人信息-新	api/medicalCard/qryPatientList
入库单审核供货商下拉	dataq/api/page/getRKSHGHDWList
查询入库单审核列表	dataq/api/page/getRKDSHList
门诊结算测试数据	api/settlePage/qrySettle
入库单审核单对应药品列表	dataq/api/page/getRKDSHYPList
退库单输入-退库单列表	dataq/api/page/getTKDSRList
退库单输入-退库单对应药品列表	dataq/api/page/getTKDSRYPList
退库单输入-退库部门列表	dataq/api/page/getTKBMList
药品已审核的入库记录	dataq/api/page/listYpYshRkJlForRKDCK
已出库记录	dataq/api/page/listYpYckJlForRKDCK
打印变更单-FRX	print/api/query/printMZSF_BGDFRX
药品明细列表	dataq/api/page/listYpmxLbForRKDCK
退库单输入-发送退库单号	yk/tkdsr/sendTKDH
领用部门字典	dataq/api/page/listLybmDictForRKDCK
经领人下拉框字典	dataq/api/page/listJLRDictForRKDCK
出库类型	dataq/api/xdict
增加	api/yk/drugsOutForInStorBill/add
收货方下拉框字典	dataq/api/page/listYkYfSHFDict
删除	api/yk/drugsOutForInStorBill/del
修改	api/yk/drugsOutForInStorBill/update
出库单列表（第一个表格）	dataq/api/page/listCkdlbForCKDCX
药品名称下拉字典（底部）	dataq/api/page/listYPMCDictForYPCKDSR
生产厂家列表	dataq/api/page/getRKSCSJList
货柜号列表	dataq/api/page/getRKHGHList
获取药品明细信息(底部药品名称字典退出时)	api/yk/drugsOutWareInput/getYpxxYpmcDictExit
入库类型列表	dataq/api/page/getRKLXList
药品搜索列表	dataq/api/page/getRKYPList
药品库存预警-生成采购单	api/yk/inventoryWarning/generatePurchaseOrder
查询时间段内调价单树	api/yk/kjsh/getDadjapTree
调价管理性质字典	dataq/api/xdict?zdbm=10063
药库部门字典	dataq/api/xdict?zdbm=10064
查询调价单主数据	api/yk/kjsh/getDadjapMain
药品调价明细	dataq/api/page/getDrugPriceAdjustmentList
待审核药品调价单库存明细	dataq/api/page/auditingDrugPriceAdjustmentInventoryList
调价单审批文件号输入法字典	dataq/api/page/approvalDocumentNoListDict
已执行药品调价单库存明细	dataq/api/page/executedDrugPriceAdjustmentInventoryList
调价单药品查找输入法字典	dadjapDrugListDict
药品明细列表	dataq/api/page/listYpmxlbForCKDCX
取消审核	api/yk/drugsOutBillQuery/cancelCheck
退库单输入-批号列表按请领单	dataq/api/page/getTKDSRPHList
退库单确认-退库单确认列表	dataq/api/page/getTKDQRList
退库单确认-退库单确认对应药品列表	dataq/api/page/getTKDQRYPList
查询时间段内不同状态下盘点单树	api/yk/totalDrugInventoryService/getPddState
调价单保存	api/yk/kjsh/saveDadjap
非编辑状态下删除	api/yk/kjsh/deleteDadjapDetail
调价单审核	api/yk/kjsh/updateDadjapAudit
退库单确认-退库单退回	yk/tkdqr/cancelStocksBack
退库单审核列表	dataq/api/page/getTKDSHList
退库单审核对应药品列表	dataq/api/page/getTKDSHYPList
调价单确认	api/yk/kjsh/confirmDadjapAudit
退库单确认	yk/tkdqr/tkdConfirm
退库单审核	yk/tkdqr/tkdConClick
错误更正列表	dataq/api/page/getRKCWGZList
错误更正药品列表	dataq/api/page/getRKCWGZYPList
查询时间段内不同状态下盘点单详细信息	dataq/api/page/getInventoryNumberInformation
收货方（供应商）下拉字典	dataq/api/page/listTHCKSHFDictForYPCKSR
查询时间段内不同状态下盘点单树	api/yk/totalDrugInventoryService/getPddState
获取其他调价涉及到的药品部门(打印其他库房调价单)	api/yk/kjsh/getOtherTJYK
调价单打印	print/api/query/drugPriceAdjustmentList
错误更正冲销	yk/rkdcwgz/rkdCounteract
查询时间段内药品进、出、存月报表树	api/yk/kjsh/getDrugDeliveryAndStorageTree
药品进、出、存月报表	dataq/api/page/drugDeliveryAndStorageList
结存尾差明细--购进金额尾差	dataq/api/page/JCWCMX_GJJEWC
结存尾差明细--零售金额尾差	dataq/api/page/JCWCMX_LSJEWC
出库单查询-打印（导出成Excel表格）	api/yk/drugOut/queryCkdExport
重新打印(调用完，调用更新打印次数接口)	api/yk/drugsOutBillQuery/reprint
药品进出存月报表结转取消	api/yk/kjsh/drugDeliveryAndStorageCancel
获取新建结转默认时间	api/yk/kjsh/getNewCarriedForwardTime
药品进出存月报表新建结存	api/yk/kjsh/drugDeliveryAndStorageAdd
药品进出存月报表结转审核	api/yk/kjsh/drugDeliveryAndStorageAudit
修改供货单位	yk/rkdcwgz/updRecipients
药品进、出、存月报表打印	print/api/query/drugDeliveryAndStorage
打印	print/api/query/printYyYkYpSld
采购部门下拉字典	dataq/api/page/listPurchDeptDictForCGGL
药库-库存管理-药品总量盘点-新开单和已作废以及待录入	dataq/api/page/queryYKypzlpdXKhZFhRL
药库-库存管理-药品总量盘点-待录入汇总	dataq/api/page/queryYKypzlpdDRLHZ
药库-库存管理-药品总量盘点-已确认	dataq/api/page/queryYKypzlpdYQR
药库-库存管理-药品总量盘点-待确认和已确认下的盘点子单	dataq/api/page/queryYKypzlpdDHYPDZD
getCXTJRKDList	dataq/api/page/getCXTJRKDList
getCXTJRKDYPList	dataq/api/page/getCXTJRKDYPList
退库单输入-批号列表不按请领单	dataq/api/page/getTKDSRPHNOTQLDList
获取采购单记录树	api/yk/drugsProcuBase/listCGDTree
采购主单信息数据	dataq/api/page/listCgZdxxForCGJHZD
入库单合并打印_入库单	dataq/api/page/getRKDHBDY_RKD
入库单合并打印_退货单	dataq/api/page/getRKDHBDY_THD
入库单合并打印_入库单_明细	dataq/api/page/getRKDHBDY_RKD_MX
入库单合并打印_退货单_明细	dataq/api/page/getRKDHBDY_THD_MX
cancelCheckRKD	yk/rkdcx/cancelCheckRKD
入库单合并打印_退货单_明细	dataq/api/page/getRKDHBDY_THD_MX
入库单药品列表	dataq/api/page/getBRFPYPList
入库单列表	dataq/api/page/getBRFPRKDList
底部+列选择变更“计价数量”发生变化后触发	api/yk/drugsOutWareInput/dealQLSLTxtChgAfter
供应商下拉列表	dataq/api/page/getRKQRGHDWList
底部+列选择变更，计量请领数量(余数)发生变化后触发	api/yk/drugsOutWareInput/dealJLQLSLTxtChgAfter
更新单盘点单号(删除、作废、退回、恢复)	api/yk/totalDrugInventoryService/updateInventoryNo
删除盘点单号下的药品详细内容	api/yk/totalDrugInventoryService/deletePddDrugsXX
确认单盘点单号(发送、请求确认、确认)	api/yk/totalDrugInventoryService/confirmInventoryNo
采购明细信息列表(第二个表格)	dataq/api/page/listCgMxxxForCGGL
药品全院各药房库存情况(第三个表格)	dataq/api/page/listYpqyGyfKcqkForCGGL
新增主单	api/yk/makePurchasPlan/addMainBill
删除主单	api/yk/makePurchasPlan/delMainBill
退库单确认供货商下拉	dataq/api/page/getTKQRGHDWList
退库单审核供货商下拉	dataq/api/page/getTKSHGHDWList
入库单更正供应商下拉	dataq/api/page/getRKGZGHDWList
出库单药品列表（勾选出库）	dataq/api/page/getBRFPCKYPList
补录发票保存	yk/blfp/saveInvoice
费用清单信息表头测试数据	dataq/api/header/ComprehensiveExpenseDetails
费用清单信息表内容测试数据	dataq/api/page/ComprehensiveExpenseDetails
供应商下拉	dataq/api/page/getFKTZDGHDWList
汇款单记录	dataq/api/page/getFKTZDHKDList
汇款状态树供货商列表	dataq/api/page/getFKTZDGHDWBYHKDZTList
汇款单信息列表	dataq/api/page/getFKTZDHKDXXList
打印医保卡保管单	print/api/query/printZYSF_YBKBGD
药品字典下拉框	dataq/api/page/listYpDictForCGGL
生产厂家字典下拉框	dataq/api/page/listSccjDictForCGGL
保存盘点单号下的药品详细内容	api/yk/totalDrugInventoryService/preservationPddDrugsXX
汇款生成单列表	dataq/api/page/getFKTZDHKDSCDList
汇款生成单药品列表	dataq/api/page/getFKTZDHKDSCDYPList
盘点单生成-按品种盘点	dataq/api/page/queryYKpddscAPZPD
盘点单生成-按批次盘点	dataq/api/page/queryYKpddscAPCPD
盘点单生成-按价格盘点	dataq/api/page/queryYKpddscAJGPD
采购明细“保存”按钮	api/yk/makePurchasPlan/save
获取采购明细（返回采购数量不为0的结果）	api/yk/makePurchasPlan/listCGMXForCGSLNotZero
采购明细信息“导出”	api/yk/makePurcPlan/exportCgmxToExcel
药品字典（采购计划明细_添加按钮_弹出字典）	dataq/api/page/listYpcgDictForCGGL
药品采购字典点击“确认”触发事件	api/yk/makePurchasPlan/cxBtQDClick
取上月的量	api/yk/makePurchasPlan/getLastMonthAmount
抽样盘点-按品种盘点	dataq/api/page/queryYKcypdAPZPD
抽样盘点-按批次盘点	dataq/api/page/queryYKcypdAPCPD
抽样盘点-按价格盘点	dataq/api/page/queryYKcypdAJGPD
查询采购单列表（第一个表格）	dataq/api/page/listCgdForCGJHDCX
出库单列表	dataq/api/page/getBRFPCKDList
新生成汇款单	yk/fktzsdy/newCreateHKD
查询药品明细信息列表（第二个表格）	dataq/api/page/listYpMxxxForCGJHDCX
审核	yk/fktzsdy/approve
取消核准	yk/fktzsdy/cancelApprove
作废	yk/fktzsdy/cancellation
采购计划单 打印	print/api/query/printYpCgjhd
期初入库	api/yk/totalDrugInventoryService/whetherQCRuKu
生成盘点单	api/yk/totalDrugInventoryService/generatePdd
判断原单添加新药品盘点是否重复	api/yk/totalDrugInventoryService/judgeDrugXXRepeat
合并打印	api/yk/queryPurchasPlan/mergePrint
更新打印次数	api/yk/queryPurchasPlan/modifyPrintNum
导出	api/yk/makePurcPlan/exportCgjhToExcel
取消盘点状态	api/yk/cancelCountingStatusService/ancelPddStatus
接口导出	api/yk/makePurcPlan/exportCgjhApiToExcel
获取采购单记录树	api/yk/drugsProcuBase/listCGDTreeForCGGYSDJ
采购主单信息数据列表	dataq/api/page/listCgzdForCGGYSDJ
查询采购明细信息列表	dataq/api/page/listCgMxxxForCGGYSDJ
统一供应商	api/yk/procSuppReg/unifiedSupplier
保存	api/yk/procSuppReg/save
发送	api/yk/procSuppReg/send
药库会计过账-调拨单	dataq/api/page/listAccountingPosting
药库会计过账-调拨单明细	dataq/api/page/listAccountingPostingMX
会计过账确认	api/accountingPosting/confirm
药品信息查询	dataq/api/page/queryQtsxwhYpxxcx
输入法拆分信息字典	dataq/api/page/getSRFcfxxZD
输入法门诊开方单位字典	dataq/api/page/getSRFmzkfZD
输入法用法字典	dataq/api/page/getSRFyfZD
输入法频次字典	dataq/api/page/getSRFpcZD
查询采购主单列表	dataq/api/page/listCgzdForCGJHSH
输入法中标期字典	dataq/api/page/getSRFzbqZD
输入法生产厂家字典	dataq/api/page/getSRFsccjZD
输入法供货单位字典	dataq/api/page/getSRFghdwZD
输入法产地名称字典	dataq/api/page/getSRFcdmcZD
输入法贮藏方法字典	dataq/api/page/getSRFzcffZD
输入法配制台字典	dataq/api/page/getSRFpztZD
输入法发药属性字典	dataq/api/page/getSRFfysxZD
采购明细信息列表	dataq/api/page/listCgMxxxForCGJHSH
保存	api/yk/purcPlanAudit/save
审核/退回单据	api/yk/purcPlanAudit/audit
申领单消息列表	dataq/api/page/getYFRKSLDXXList
分页测试数据	dataq/api/page/pageDatas
药库入库单合并打印_入库单合并打印	print/api/query/printYKRKHBDY_RKD
药库入库单合并打印_入库单打印	print/api/query/printYKRKHBDY_RK
药库入库单合并打印_退货单打印	print/api/query/printYKRKHBDY_THD
保存修改药品后的信息	api/yk/OtherAttributeService/updateDrugsAttribute
查询采购主单列表	dataq/api/page/listCgzdForCGWH
查询采购明细信息列表	dataq/api/page/listCgMxxxForCGWH
采购单树	api/yk/drugsProcuBase/listCGDTreeForCGWH
发送	api/yk/purchasMaint/send
修改（修改保存前的验证）	api/yk/purchasMaint/editCheck
作废	api/yk/purchasMaint/notNeed
保存	api/yk/purchasMaint/save
获取可编辑的结果列（采购明细列表）	api/yk/purchasMaint/getEditColsList
药品字典选择后，获取采购明细信息	api/yk/purchasMaint/getCgxxYpmcDictExit
类别	dataq/api/page/queryTSSXWHlb
根据类别编号获取药理	dataq/api/page/getGJLBBHhqYL
根据类别编号获取剂型	dataq/api/page/getGJLBBHhqJX
查询最高定价维护	dataq/api/page/queryZGDJWH
保存修改药品定价后的信息	api/yk/MaximumPricingService/updateDrugszgPricing
打印住院收费_预交金退款汇总单	print/api/query/printZYSF_YJJTKHZD
查询特殊药品维护	dataq/api/page/queryTSYPWH
保存修改药品后的信息	api/yk/SpecialDrugsService/updateSpecialDrugs
打印	print/api/query/printYpYgCgd
药品名称下拉框字典	dataq/api/page/listYpcgDictForCGWH
查询药品存放位置	dataq/api/page/queryDrugStorageLocation
删除药品存放的信息	api/yk/DrugStorageLocationService/deleteDrugStorageLocation
保存增加和修改药品存放的信息	api/yk/DrugStorageLocationService/updateDrugStorageLocation
获取采购单记录树	api/yk/drugsProcuBase/listCGDTreeForCGJHSH
查询药品类别维护	dataq/api/page/queryDrugCategoryMaintenance
保存修改药品默认加成率	api/yk/DrugCategoryMaintainService/updateDrugMRJCL
采购单树	api/yk/drugsProcuBase/listCGDTreeForCGDJ
展开行测试数据	dataq/api/page/expandDatas
行分组测试数据	dataq/api/page/groupByDatas
获取借药单主数据	api/yf/ckksjy/getBorrowMedicineMain
获取药房借药单明细	dataq/api/page/getBorrowMedicineList
采购主单信息查询	dataq/api/page/listCgzdForCGDJ
采购明细	dataq/api/page/listCgMxxxForCGDJ
借药部门输入法字典	dataq/api/page/JYBMListDict
科室借药_借药人输入法字典	dataq/api/page/KSJYJYRListDict
弹框编辑测试数据	dataq/api/page/popupFormDatas
申领单消息明细列表	dataq/api/page/getYFRKSLDXXMXList
申领单模板搜索/模板维护-模板搜索	dataq/api/page/getYFSLDMBList
模板维护-申领单药品明细列表	dataq/api/page/getYFMBWHMBMX
拼音五笔根据中文判断	dataq/api/page/getPYWBGJZWPD
科室借药_药品输入法字典	dataq/api/page/KSJYYPListDict
查询药品剂型维护的信息	dataq/api/page/queryYPJXWHDXX
采购确认	api/yk/purchRegis/confirm
删除药品剂型维护的信息	api/yk/DrugDosageFormService/deleteDrugDosageForm
保存增加和修改药品剂型维护的信息	api/yk/DrugDosageFormService/updateDrugDosageForm
科室借药登记明细切换单位	api/yf/ckksjy/switchingUnit
模板引用-明细列表	dataq/api/page/getYFSLDMBYYMXList
保存	api/yk/purchRegis/save
“回退”或“作废”或“作废恢复”操作	api/yk/purchRegis/dealByType
明细删除	api/yk/purchRegis/delYkDhdMx
模板维护-新增-搜索药品	dataq/api/page/getYFSLDMBXZYPList
组套名称字典下拉框	dataq/api/page/listZtmcDictForCGDJ
获取模板类别编号	api/yf/rksldsr/getMBLBBH
科室借药登记保存	api/yf/ckksjy/registerSave
科室借药登记删除	api/yf/ckksjy/registerDelete
新增模板	api/yf/rksldsr/addApplyTemplate
修改模板明细	api/yf/rksldsr/updApplyTemplate
删除模板明细	api/yf/rksldsr/delApplyTemplate
获取供货单位维护下一个编号	dataq/api/page/getGHDWXYGBH
查询供货单位维护的信息	dataq/api/page/queryGHDWWHDXX
保存增加和修改供货单位的信息	api/yk/SupplyCompanyService/updateSupplyCompany
发药方列表	dataq/api/page/getYFFYFList
借药单审核	api/yf/ckksjy/borrowMedicineCheck
药房-出库-科室借药审核主数据	dataq/api/page/getBorrowMedicineCheckList
药房-出库-科室借药审核,确认明细	dataq/api/page/getBorrowMedicineCheckMXList
虚拟滚动测试数据	dataq/api/page/scrollDatas
查询未审核的出库单记录(第一个表格)	dataq/api/page/listYfWshCkdForCKDSR
查询出库单药品明细	dataq/api/page/listYfCkypmxForCKDSR
出库类型字典	dataq/api/xdict
收货方下拉框字典	dataq/api/page/listYkYfSHFDict
收货方下拉框字典	dataq/api/page/listYkYfSHFDict
获取生产厂家维护下一个编号	dataq/api/page/getSCCJXYGBH
经领人下拉字典	dataq/api/page/listYfJLRDict
查询生产厂家维护的信息	dataq/api/page/querySCCJWHDXX
保存增加和修改生产厂家的信息	api/yk/ProductionManufactorService/updateProductionManufactor
 新增申领单	api/yf/rksldsr/addApply
 删除申领单	api/yf/rksldsr/delApply
 发送申领单	api/yf/rksldsr/sedApply
 读取耗量	api/yf/rksldsr/getWastageCount
药品名称字典	dataq/api/page/listYfYpmcDict
大数据表格测试-表头	dataq/api/bigDataHeader
大数据表格测试-列表数据	dataq/api/bigDataPage
查询隶属药品维护-需要添加(上面表格)	dataq/api/page/queryLSYPWHXYTJ
查询隶属药品维护-需要除去(下面表格)	dataq/api/page/queryLSYPWHXYCQ
添加药品的信息	api/yk/SubordinateDrugsService/insertSubordinateDrugs
移去药品的信息	api/yk/SubordinateDrugsService/deleteSubordinateDrugs
查询协定处方对照维护的药品信息	dataq/api/page/queryXDCFDZwhdYPXX
查询协定处方对照维护的对应药品信息	dataq/api/page/queryXDCFDZwhddyYPXX
输入法协定处方对照维护的药品名称字典	dataq/api/page/getXDCFDZwhdYPMC
 取回	api/yf/rksldsr/recaption
查询协定处方对照维护的药品名称字典详细信息	dataq/api/page/queryXDCFDZwhdYPMCXX
 作废	api/yf/rksldsr/cancelled
 申领单确认列表	dataq/api/page/getYFRKSLDQRList
 申领单确认明细列表	dataq/api/page/getYFRKSLDQRMXList
药房出库科室借药单打印	print/api/query/printYFCKKSJYD
药房-出库-科室借药确认主数据	dataq/api/page/getBorrowMedicineNotarizeList
申领单输入新增搜索药品	dataq/api/page/getYFSLDXZYPList
 确认	yf/rksldqr/affirm
增加或者修改对照处方的信息	api/yk/PrescriptionControlService/updateControlPrescription
与药典对比是否一致	api/yk/PrescriptionControlService/queryYYDDBSFYZ
删除对照处方的信息	api/yk/PrescriptionControlService/deleteControlPrescription
 供货部门列表	dataq/api/page/getYFGHBMList
 入库类型列表	dataq/api/page/getRKLXList
 药品列表	dataq/api/page/getYFRKSRYPList
保存	api/yf/wareInput/save
删除	api/yf/wareInput/delYpCkd
获取药品明细信息(在药品名称字典退出时候)	api/yf/wareInput/getCkmxxxByYpmczdExit
借药单确认	api/yf/ckksjy/borrowMedicineNotarize
“备注”按回车键触发（底部备注文本框）	api/yf/wareInput/enterBzNext
“计价数量”（底部）发生变化触发	api/yf/wareInput/dealJJCKSLTxtChgAfter
“余数”（底部）发生变化触发	api/yf/wareInput/dealJLCKSLTxtChgAfter
 入库单增/删/改	api/yf/rkdsr/save
确认列表	dataq/api/page/getYFRKQRList
确认药品列表	dataq/api/page/getYFRKQRYPList
查询特殊属性的药品信息（左边药品）	dataq/api/page/queryTSSXDYPXX
查询特殊属性维护信息（上面表格）	dataq/api/page/queryTSSXWHXX
查询特殊属性所需要维护信息（下面表格）	dataq/api/page/queryTSSXSXYWHXX
选择和移去属性信息保存	api/yk/SpecialPropertiesService/updateSpecialProperties
药房-出库-科室借药查询主数据	dataq/api/page/getBorrowMedicineSelectList
药房-出库-科室借药查询明细	dataq/api/page/getBorrowMedicineSelectMXList
科室借药单转出库单	api/yf/ckksjy/turnOutboundOrder
出库单列表	dataq/api/page/listYfCkdForYFCKDSH
 入库单确认	api/yf/rkdsr/godownAffirm
出库单明细	dataq/api/page/listCkdMxForYFCKDSH
获取报损出库的审核权限	api/yf/wareCheck/getBSCKLXInfo
查询药品别名维护药品信息(上表格)	dataq/api/page/queryYPBMWHDrugsXX
查询药品别名维护别名信息(下表格)	dataq/api/page/queryYPBMWHBmXX
删除药品别名	api/yk/drugAlias/deleteDrugAlias
保存增加或者修改药品别名	api/yk/drugAlias/updateDrugAlias
根据年龄计算出生日期	api/medicalCard/getAgeToBirth
查询药品药理维护-药理信息(包括搜索)	dataq/api/page/queryYPYLWHylXX
查询药品药理维护-通用名信息(包括搜索)	dataq/api/page/queryYPYLWHtymXX
药品通用名维护信息保存	api/yk/DrugsPharmacologyService/updateYpYlWhTYM
药品药理维护信息保存	api/yk/DrugsPharmacologyService/updateYpYlWhYL
自动分组表头测试数据-表头	dataq/api/header/headerGroups
自动分组表头测试数据-表内容	dataq/api/page/headerGroups
药房药品借药申请单	dataq/api/page/listYFYPJYSQD
药房药品借药申请单明细	dataq/api/page/listYFYPJYSQDMX
获取借药单号	api/yf/drugApplication/getJYDH00
药房药品借药药房	dataq/api/xdict
药房药品借药申请_药品输入法字典	dataq/api/page/YFYPJYSQYPListDict
借药申请保存	api/yf/drugApplication/borrowDrugSave
确认	api/yf/wareCheck/confirm
“确认”操作成功后续打印/提示框	api/yf/wareCheck/confirmAfter
退库单明细	dataq/api/page/listTkdmxForTKDSR
药库-下拉框字典	dataq/api/xdict
查询之前校验数据	api/yf/retStockInput/checkBeforeCkdQuery
药品目录维护-材质分类	dataq/api/xdict?zdbm=10069
药品目录维护-单位	dataq/api/xdict?zdbm=10070
药品目录维护-会计	dataq/api/xdict?zdbm=10072
药品目录维护-门诊发票	dataq/api/xdict?zdbm=10073
药品目录维护-住院发票	dataq/api/xdict?zdbm=10074
药品目录维护-核算项目	dataq/api/xdict?zdbm=10075
分组表头测试数据1	dataq/api/header/headerGroups1
药品目录维护-病案	dataq/api/xdict?zdbm=10077
药品目录维护-医嘱属性	dataq/api/xdict?zdbm=10078
药品目录维护-药品科目	dataq/api/xdict?zdbm=10079
药品目录维护-门诊、住院取整	dataq/api/xdict?zdbm=10080
药品目录维护-药品性质	dataq/api/xdict?zdbm=10083
药品目录维护-金额性质	dataq/api/xdict?zdbm=10084
药品目录维护-打印剂型	dataq/api/xdict?zdbm=10086
药品目录维护-注射剂打印类别	dataq/api/xdict?zdbm=10087
分组表头表内容测试数据1	dataq/api/page/headerGroups1
药品目录维护-皮试类型	dataq/api/xdict?zdbm=10088
药品目录维护-抗生素	dataq/api/xdict?zdbm=10089
药品目录维护-中标期	dataq/api/xdict?zdbm=10090
药品目录维护-用药医保类别	dataq/api/xdict?zdbm=10091
药品目录维护-特定用药	dataq/api/xdict?zdbm=10092
药品目录维护-高危等级	dataq/api/xdict?zdbm=10093
药品目录维护-医保单位	dataq/api/xdict?zdbm=10094
药品目录维护-门诊开发单位	dataq/api/xdict?zdbm=10095
药品目录维护-医保比例医保类别	dataq/api/xdict?zdbm=10096
药品目录维护-贮藏方法	dataq/api/xdict?zdbm=10097
药品目录维护-摆药类型	dataq/api/xdict?zdbm=10098
药库-药品目录维护-药品信息	dataq/api/page/queryYPMLWHDrugsXX
分组表头+筛选功能测试数据	dataq/api/header/headerGroupsFilters
分组表头+筛选功能表内容测试数据	dataq/api/page/headerGroupsFilters
药库-药品目录维护-药品核对	dataq/api/page/queryYPMLWHDrugsHD
排序功能表头测试数据	dataq/api/header/sorts
排序功能表内容测试数据	dataq/api/page/sorts
药库-药品目录维护-药品分发-不拥有该药	dataq/api/page/queryYPMLWHDrugsFAbyygy
药库-药品目录维护-药品分发-拥有该药	dataq/api/page/queryYPMLWHDrugsFAyygy
药库-药品目录维护-医保对应	dataq/api/page/queryYPMLWHYBDY
药库-药品目录维护-科室专用-临床科室	dataq/api/page/queryYPMLWHKSZYLCKS
药库-药品目录维护-科室专用-专用科室	dataq/api/page/queryYPMLWHKSZYZYKS
打印变更单-改造	api/medicalCard/printMZSF_BGD
药品目录维护-剂型	dataq/api/page/getYPMLWHJX
获取门诊收费结账表票据序号	dataq/api/page/listSFJzbPJXH
发票清单打印-标准格式	print/api/query/printTmzsfptFPRQD4FRX
发票清单打印-汇总单行	print/api/query/printTmzsfptRQDHZ4FRX
点击“修改”按钮	api/yf/retStockInput/modify
点击删除按钮	api/yf/retStockInput/del
保存	api/yf/retStockInput/save
保存后续操作（包括打印）	api/yf/retStockInput/saveAfter
药品名称字典	dataq/api/page/listYpmcDictForTKDSR
生产批次字典	api/yf/retStockInput/listScpcDict
获取药品明细信息-单条(在鼠标离开“药品名称”字典时候)	api/yf/retStockInput/getYprkmxByYpmczdExit
获取药品明细信息-单条(在鼠标离开“生产批次”字典时候)	api/yf/retStockInput/getYprkmxByScpczdExit
获取厂家字典	dataq/api/page/listCjDictForTKDSR
获取存放位置字典	dataq/api/page/listCfwzDictForCKDSR
滚动功能表内容测试数据	dataq/api/page/rolling
滚动功能表头测试数据	dataq/api/header/rolling
退库单记录查询	dataq/api/page/listTkdjlForTKDXG
入库明细列表“数量”发生变化触发	api/yf/retStockInput/queryYprkmxAmountSetText
退库单明细	dataq/api/page/listTkdmxForTKDXG
打印	api/yf/retStockInput/getPrintTKD
退库单记录查询	dataq/api/page/listTkdjlForTKDSH
退库单明细查询	dataq/api/page/listTkdmxForTKDSH
药品核对计算领药量费用	api/yk/CatalogMaintenanceService/calculationYPHDLYL
药品核对计算领药量	api/yk/CatalogMaintenanceService/updateLYLAccurate
确认	api/yf/retStockCheck/confirm
查询出库单	dataq/api/page/listCkdForYFCKCX
借药单明细查询	dataq/api/page/listCkdmxForYFCKCX
打印	api/yf/wareQuery/print
获取隶属药品信息	dataq/api/page/queryMedicInfo
新增隶属药品信息	api/yf/lsypwh/addLsyp
修改隶属药品信息	api/yf/lsypwh/editLsyp
删除隶属药品信息	api/yf/lsypwh/delLsyp
全暂停隶属药品信息	api/yf/lsypwh/changeAllYPState
导出隶属药品信息	api/yf/system/exportSubsidiaryDrugInformation
获取药品信息	dataq/api/page/queryYPBMWHYPXX
获取别名信息	dataq/api/page/queryYPBMWHBMXX
新增别和修改名信息	api/yf/drugAlias/updateDrugAlias
出库单明细输出（导出）	api/yf/wareQuery/exportCkdmxToExcel
删除别名信息	api/yf/drugAlias/deleteDrugAlias
获取打印机设置信息	api/yf/system/getPrinterConfigurationInformation
打印机配置修改	api/yf/system/updatePrinterConfigurationInformation
获取药品信息	dataq/api/page/getDrugInformation
获取已分发科室信息	dataq/api/page/getDepartmentInformationDistributed
获取未分发科室信息	dataq/api/page/getDepartmentInformationUnDistributed
获取已分发药品信息	dataq/api/page/getDistributedDrugInformation
新增药品分发	api/yf/medicineDistribution/addMedicineDistribution
新增所有药品分发	api/yf/medicineDistribution/addAllMedicineDistribution
删除药品分发	api/yf/medicineDistribution/deleteMedicineDistribution
删除所有药品分发	api/yf/medicineDistribution/deleteAllMedicineDistribution
登录组件	login
受理接口	api/work/accept
出库单（主单）查询之前校验、检查	api/yf/outErrCorrect/checkBeforeCkdQuery
出库单明细	dataq/api/page/listCkdmxForCKCWGZ
转发操作	api/work/forward
完成操作	api/work/solve
关闭	api/work/close
附件上传	work/file/upload
查看附件	work/file/check
